in:Iteration,out:Sunshine_hrs,out:SVF,out:Horizontal_Solar,out:Roof_Solar,out:A/V_ratio,out:Isovist_GP,out:%Surface_View,out:FSR,out:Site_Cvr%,out:Max_H,img,threeD
82,1628.311031,0.513926,1876.290736,1082.845041,0.168216,439.320254,46.12168,2.411895,33.13363,16,FragmentB82_Aerial Iso 2.png,FragmentB82.json
83,1576.222204,0.515542,2648.768331,1151.97114,0.163514,407.862924,42.752969,2.396287,32.879286,16,FragmentB83_Aerial Iso 2.png,FragmentB83.json
84,1473.838869,0.525476,2611.032118,1153.873528,0.168723,395.758831,47.141229,2.484752,32.457229,16,FragmentB84_Aerial Iso 2.png,FragmentB84.json
85,1473.838869,0.525476,2611.032118,1156.013873,0.168723,395.758831,47.141229,2.484752,32.457229,16,FragmentB85_Aerial Iso 2.png,FragmentB85.json
86,1111.953901,0.38618,2430.146206,1096.982713,0.171893,374.424055,34.617491,3.166413,42.955517,16,FragmentB86_Aerial Iso 2.png,FragmentB86.json
87,1111.953901,0.38618,2430.146206,1102.301588,0.171893,374.423998,34.617491,3.166414,42.955531,16,FragmentB87_Aerial Iso 2.png,FragmentB87.json
88,1788.378183,0.564646,2568.902069,1125.549877,0.181082,541.716644,50.617622,2.19391,27.683138,16,FragmentB88_Aerial Iso 2.png,FragmentB88.json
89,1420.409376,0.475698,3873.46621,1167.873695,0.174781,400.576611,36.189329,2.193957,34.527926,16,FragmentB89_Aerial Iso 2.png,FragmentB89.json
90,1670.36872,0.532304,3902.178457,1156.017861,0.175204,491.272393,42.105688,2.151135,29.799312,16,FragmentB90_Aerial Iso 2.png,FragmentB90.json
91,1272.678401,0.452141,2645.467046,1132.742686,0.166695,365.04472,44.238061,2.725754,36.291395,16,FragmentB91_Aerial Iso 2.png,FragmentB91.json
92,1754.542805,0.563563,3738.284597,1178.049308,0.199348,458.326317,39.552115,1.761767,27.47463,16,FragmentB92_Aerial Iso 2.png,FragmentB92.json
93,1266.297872,0.42275,2489.598343,1113.474594,0.175514,424.247186,39.753532,2.8692,38.637967,16,FragmentB93_Aerial Iso 2.png,FragmentB93.json
94,1541.265363,0.526149,1895.459437,1102.342592,0.16455,419.386,48.048847,2.488707,32.458401,16,FragmentB94_Aerial Iso 2.png,FragmentB94.json
95,1549.718058,0.500994,3905.010944,1194.799536,0.185279,432.899422,36.065701,1.950469,31.990278,16,FragmentB95_Aerial Iso 2.png,FragmentB95.json
96,1277.937211,0.434033,1782.399474,1167.873695,0.165806,357.880881,38.848078,2.959495,38.558664,16,FragmentB96_Aerial Iso 2.png,FragmentB96.json
97,1389.358161,0.458772,3647.491861,1114.318859,0.170984,418.021667,37.238462,2.671235,36.086778,16,FragmentB97_Aerial Iso 2.png,FragmentB97.json
98,1682.150104,0.544675,3800.701572,1187.725233,0.192715,462.388703,43.50834,2.010485,28.182739,16,FragmentB98_Aerial Iso 2.png,FragmentB98.json
99,1640.776187,0.553512,1896.575267,1137.138205,0.178366,448.260203,48.855087,2.215568,29.015083,16,FragmentB99_Aerial Iso 2.png,FragmentB99.json
100,1184.616298,0.408568,1670.515528,1126.15293,0.170928,355.434329,28.646521,2.757822,40.670165,16,FragmentB100_Aerial Iso 2.png,FragmentB100.json
