in:Fillet,in:Width,in:form variable,in:Fillet Base,out:Floor Area Small,out:Floor Area Large,out:Floor Area Deviation,out:Floor Area,out: FAR,out:Facade Area,out:Num Panels,out:Percent Planar,out:Facade Cost,out:Avg Solar Rad. (kWh/m2),img
14,42,0,16,1696.247718,1756.551267,60.303549,70792.87256,7.226306461,24663.97792,2058,0.453353,26439453.56,83.18831,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width42_formvariable0_FilletBase16_Perspective.png
21,42,0,16,1547.195142,1696.247718,149.052576,66601.815,6.79849692,23691.67261,1974,0.239615,27849049.86,86.872012,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width42_formvariable0_FilletBase16_Perspective.png
7,48,0,16,1696.247718,1882.484954,186.237236,73702.78575,7.523340947,25641.00822,2140,0.505607,26838055.1,80.737857,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width48_formvariable0_FilletBase16_Perspective.png
14,48,0,16,1696.247718,1756.551267,60.303549,70792.87256,7.226306461,24664.02734,2058,0.456268,26404689.27,83.519221,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable0_FilletBase16_Perspective.png
21,48,0,16,1547.195142,1696.247718,149.052576,66601.815,6.79849692,23691.70693,1974,0.235056,27901391.99,86.982174,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable0_FilletBase16_Perspective.png
7,54,0,16,1624.247718,1882.484954,258.237236,72190.78575,7.369000898,25676.39326,2140,0.50514,26880901.65,77.599683,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable0_FilletBase16_Perspective.png
14,54,0,16,1624.247718,1756.551267,132.303549,69280.87256,7.071966413,24690.83606,2058,0.364431,27531325.98,80.145672,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable0_FilletBase16_Perspective.png
21,54,0,16,1546.841938,1624.247718,77.40578,65089.815,6.644156872,23710.16455,1974,0.205167,28266263.66,83.533649,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable0_FilletBase16_Perspective.png
7,60,0,16,1506.858346,1882.484954,375.626608,69304.81321,7.074410196,25774.50966,2140,0.520561,26791171.95,71.873476,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width60_formvariable0_FilletBase16_Perspective.png
14,60,0,16,1506.858346,1756.551267,249.692921,66467.16903,6.784752697,24791.36028,2058,0.347911,27841731.17,74.385124,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width60_formvariable0_FilletBase16_Perspective.png
